name_old,name_rewrite,20251222_ddd_name,20251222_ddd_supporters,20251222_ddd_description,is_in_50v50
Does a horse die,a horse dies,a horse dies,0,"This trigger is for people who are upset by the death of a horse. Horses are often seen as majestic creatures, and their death can be a difficult scene to watch, especially for animal lovers or horse enthusiasts. ",y
Does the dog die,the dog dies,a dog dies,678,"This trigger is for people who are upset by the death of a canine companion. Dogs are often portrayed as loyal friends in films, and their death can be very triggering. ",y
Are animals abused,animals are abused,animals are abused,1,"This trigger is for viewers who are disturbed by scenes of animal cruelty or violence. This can include physical abuse, neglect, or forced fighting. ",y
Does a pet die,a pet dies,a pet dies,245,"This trigger is a broader category encompassing the death of any animal companion, including dogs, cats, rabbits, hamsters, etc. ",y
Is there dog fighting,there is dog fighting,there's dog fighting,188,Dog fighting is a cruel and illegal activity that involves forcing dogs to fight each other. Even depictions of dog fighting can be very disturbing. ,y
Are there bugs,there are bugs,there are bugs,45,"This trigger is for people with entomophobia, a fear of insects. Even brief appearances of bugs can cause anxiety and distress. ",y
Is there a dead animal,there is a dead animal,there's a dead animal,1,This trigger is for viewers who are generally disturbed by the sight of dead animals on screen. ,y
Does a dragon die,a dragon dies,a dragon dies,1,"This trigger is for viewers who may be attached to a fictional creature's well-being, even if it's a fantasy element like a dragon. This can be especially true if the dragon is portrayed as a sympathetic character. ",y
Does a cat die,a cat dies,a cat dies,1,"This trigger is for people who are upset by the death of a feline companion. Cats can form strong bonds with their owners, and their death on screen can be emotionally difficult to watch. ",y
Does an animal die,an animal dies,"an animal dies (besides a dog, cat, or horse)",1,This trigger is a broader category encompassing the death of any animal depicted on screen. It's useful for viewers who are sensitive to animal death in general. ,y
Are there snakes,there are snakes,there are snakes,25,"This trigger is for people with ophidiophobia, a fear of snakes. Even brief appearances of snakes can cause anxiety and distress for some viewers. ",y
Are there spiders,there are spiders,there are spiders,75,"This trigger is for people with arachnophobia, a fear of spiders. Even brief appearances of spiders can cause anxiety and distress for some viewers. ",y
