"user","media","score/5","date","---","review_heading","review_text"
"venzenait","65daysofstatic - We Were Exploding Anyway (2010)",3,"2022/09/10",,,"So, the overall rating here is too low. Don't look at my rating, because my 3 is like a 3.5 here. I might be cotributing to the problem here but come on, fans of this type of post-rock have to enjoy this more. I guess, some people don't like the electronics and want more cheesy dreamscapes with crescendos (though they have one or two here). I haven't listened to anything by the band but this album is quite explorative and adventurous in the overall approach. That said, it is also kinda safe for my liking when it comes to the melodies and the actual music, whatever that means. Certain parts I really enjoy and certain parts sound like a soundtrack to some indie romantic drama (so as much as I hate the cover, it describes certain parts of this album perfectly), which is not a compliment. I mean some parts are pretty in cheese (someone should make a movie with that tile), especially when you have Robert Smith singing. However, focusing on the substance, it has a lot to offer, well at least much more than usually the albums with a 3.16 average do. Like if Battles is a 40 year-old man, this album is that person when he was 16."
"venzenait","bearvsshark - Terrorhawk (2005)",2.5,"2022/09/03",,,"I just can't stand the vocals and the music is like a watered-down Drive Like Jehu, which isn't necessarily a bad thing but the vocals just ruin it for me. You either like or you don't. It'd probably be a bit better if it wasn't so wordy. The instrumentals are more like 3.5 but its like you have these great shoes but it comes with a mandatory stone inside you can't throw out. And as great as the shoes are... I might get used to it but why try when I can just get another pair."
"venzenait","Cock Sparrer - Shock Troops (1983)",3,"2022/09/17",,,"If you want to hear working class music that actually reflects the views of the majority of the working class, go for this. It's funny how a lot (I'm not saying all) of militant left-wing stuff comes either from those in the middle class gone political or people who spend most of their time doing drugs, living in squats and being extremely proud of themselves for it (regardless of how you view such lifestyle it has nothing to do with the *working* class). The right-wing ideologues... well, there's no need to even comment on them. That being said, these are not songs by nihilists who don't care about anything. The music here is also not about being as in your face as possible,or being agressive, abrasive and ""true"". As many noted, these songs are very catchy, melodic, almost as if the Buzzcocks started playing oi! This is as wholesome and homey as punk can get.

Everybody's talking about revolution
Everybody's talking about smash the state
Sounds to me like the final solution
Right wing, left wing, full of hate"
"venzenait","GoGo Penguin - Man Made Object (2016)",3,"2022/08/27",,,"A very douchy thing to say but it's a bit too accessible and a bit too ""pretty"" in the melody\piano department. Drumming is a tad obvious as well but I am okay with that, it's still quite strong technically (reminded me of toe-adjacent bands). Anyway, this is a bit too polished and ""correct"" for me, like an ECM take on the contemporary jazz with a 90's downtempo (though druming is more like atmospheric jungle) flare... kinda. I mean one's experience of this album is going to entirely depend on what ""sound"" you prefer... taste is subjedtive, who would've thought?! If you like complex syncopated druming and don't care about cheese on top, check it out."
"venzenait","Thelonius Monk Septet - Monk's Music (1957)",3.5,"2022/12/31",,,"Perfect jazz drumming and composition (my relatively low rating is only related to the fact that I am not a huge bop fan). "
"craymen","65daysofstatic - We Were Exploding Anyway (2010)",4.5,"2018/05/13",,,"It's easy to see why We Were Exploding Anyway is a controversial entry in 65daysofstatic's discography. It's a sizable departure from their signature sound, especially considering the album it followed up, The Destruction of Small Ideas. I felt that their approach to mixing and dynamics was commendable and unique on that project, especially given the loudness war that most music seems to be locked into these days. However, the timbre of the drums and guitars didn't mesh well together, and outside of a few tracks like Lyonesse, I felt that the tracks weren't really dynamic or ear-catching enough to be memorable.

Thankfully, that is nowhere near the case with We Were Exploding Anyway. In fact, almost every track on this project is an adrenaline-infused cacophony of frantic drum patterns, blaring synths, and noisy guitars. The previously subtle synths and electronic drums have been brought to the forefront of the mix, and several tracks completely abandon live instrumentation for significant lengths of time. This may come as a disappointment to post-rock fans, but to me, this makes We Were Exploding Anyway the most exciting and interesting album 65daysofstatic has released to date.

The album's opener, Mountainhead, kicks things off with a stilted 9/4 synthetic drum groove that soon gives way to a lovely guitar-backed build toward the end of the track. It's a really unique yet very catchy track, and I absolutely love how seamlessly the song flows from one idea to the next.

This transitions pretty seamlessly into Crash Tactics, another favorite of mine. It's really hard to separate the synthetic and acoustic drums on this track, lending a very unique array of sounds used in the breakneck drum pattern throughout the first half of the track. The jagged synth lead is used to great effect, too. The track just bleeds energy through its first half, until it heads into a drum-and-bass breakdown that explodes into a noisy guitar crescendo at the end of the track. It's very dynamic, especially in the incredible call-and-response between the drums and guitars at the end of the track.

I like Dance Dance Dance for similar reasons as Crash Tactics, though it does enough different to keep it from sounding like a retread of the same ideas. The gargantuan drums come out of nowhere, and mark a pretty sudden tonal shift in the track. Where Crash Tactics is energetic and lively, Dance Dance Dance is dark and unrelenting. That is, until the guitars open up the track near the end of the track in a rather triumphant-sounding finish.

Weak4 is another highlight with its frantic drum-and-bass groove opening up into a dynamic call-and-response melody later in the track. It might even be one of the most exciting tracks on the album, though I do think the drumline does repeat a bit too much.

Come To Me is unfortunately a pretty big misstep. Surprisingly, Robert Smith doesn't contribute much to the song. The lyrics are very repetitive, repeating some pretty meaningless phrases like ""close your eyes"" and ""all you have to do is change your mind."" His voice is pretty warbly and doesn't fit in very well with the melody in the instrumental. Luckily, though, 65daysofstatic comes through here with a pretty good instrumental, including a pretty neat breakdown at the midpoint of the song. The buildup toward the last verse is also very well done, and it's climactic enough to not kill the exciting pace of the album so far. I have no idea why this song needed to be 8 minutes, though.

Go Complex starts off pretty weak, as the vocoded vocal chops burst into a pretty cheesy synth loop and repetitive drumline. However, the sudden instrumental switchup at 2:00, when the guitars suddenly come in, is undeniably breathtaking.

The final two tracks, Debutante and Tiger Girl are pretty long-form buildups that bring a nice climax to the album. Debutante is especially pretty, with a really interesting processed drumline that repeats through much of the track. Tiger Girl is a bit patience-testing at the beginning, with its incredibly repetitive synth and drum patterns. There's something rather hypnotic about it, though, and given enough time, the track blossoms into a beautifully noisy finish once all of the guitars and acoustic drums are introduced.

When judged on its own merits, We Were Exploding Anyway is an inventive, dynamic, and beautiful addition to 65daysofstatic's discography, and is probably the most accessible for anyone not too sad to see 65 step outside of post-rock for a bit."
"craymen","65daysofstatic - Wild Light (2013)",4,"2018/02/19",,,"65daysofstatic at their most dreamy and sleepy.

One of the truly remarkable thing about 65daysofstatic's sound is that they never seem to stick to a particular sound. I was blown away by their last project, ""We Were Exploding Anyway,"" even though that album received a lot of backlash from hardcore post-rockers. And I can see why -- the band's sudden turn to wild electronic experimentation was a really bizarre change of pace. Personally though, I loved the breakbeat grooves, the insane synth melodies, and incredible drumwork of tracks like Crash Tactics, Dance Dance Dance, and Debutante.

Critics of the last album might find this one to be a bit of a return to form. 65daysofstatic doesn't really abandon the heavy electronic instrumentation, but a lot of these tracks involve hypnotic, dreamy walls of sound led by some intriguing guitar layering, much like on 65daysofstatic's older work.

Personally, though, while this record brings a new, exciting direction to the band's sound, I found several of the tracks to be a bit sleepy for my taste, and the repetition in song structure gets pretty predictable after a while.

The album's opener, Heat Death Infinity Splitter, is a pretty good introduction to the band's new sound. It opens up with a pretty basic synth melody, but as the track goes on and on, more synths, guitars, and drums are slowly added to create a lovely wall of sound at the end. It's epic and awe-inspiring, even if it does take a little while to get into it.

Prisms is another awesome track from this album. It's mostly synth-led to begin with, but after a couple minutes, some acoustic drums fill in, and eventually some hypnotic guitar soundscapes make an appearance. I've always been impressed with 65daysofstatic's ability to keep a single song idea going throughout an entire track while still changing enough about the sound to keep it interesting. This track is a superb example of this, especially at the end as a more cohesive melody appears out of the noise.

While it's not one of my favorites, Blackspots is worth a mention. I love how the bass falls in and out of the drum groove, and how the layers of sound bleed into each other as the song progresses. I think the song might be trying to juggle a few too many ideas -- I don't really feel like I'm given enough time with each section to really appreciate it -- but the song definitely has an interesting flow and direction.

I'm not so sure why I wasn't so excited by The Undertow, Sleepwalk City, and Taipei. I can recognize them as having interesting drum grooves (Sleepwalk City especially) and neat guitar layering but beyond that, I don't feel like 65daysofstatic really pushes themselves much beyond their usual standard. In fact, Taipei feels like the most standard 65daysofstatic track I've heard. That's not really such a bad thing -- I still like all of these tracks -- but they kind of bog the middle of the album down a bit.

Unmake the Wild Light though. Hoooooollllyyyyy shit. This has to be my favorite 65dos track out of all of their projects. The somewhat ambient-but-still-unnerving intro gives way to a short bass-and-drum bridge that reminds me of some of my favorite tracks from their last project. This leads right back into the same groove as the intro, but as time goes on, the tension slowly rises and the whole track opens up into an incredible cacophony of guitars and pianos. 65daysofstatic really flexes their skill in song structure and slowly rising tension with this track.

Finally, Safe Passage finishes the whole project out with a nice noisy send-off. The first few minutes of the track are damn near quiet, but once the synths in the middle kick in, it's a really enjoyable track. I do wish it didn't end so suddenly, as I feel it leaves the album on a pretty sour note, but I feel like that may have been the artist's intention.

Overall, I really dig this project. I think that even though I prefer ""We Were Exploding Anyway"" as a cohesive album, a lot of my favorite 65daysofstatic tracks end up on ""Wild Light."" I'm excited to see what new sounds the band brings together for their next project."
"craymen","Blarf - Cease & Desist (2019)",3,"2019/07/31",,,"As a disclaimer, I'd consider myself a big fan of Eric Andre's TV show and I've tried not to let that color my impression of this album. The question I've been repeatedly asking myself is that if I wasn't aware of who Eric Andre was, or if I wasn't acquainted with his absurd, maniacal comedy, would I still enjoy this as much as I do? And surprisingly, I think the answer is a resounding ""yes.""

Badass Bullshit Benjamin Buttons Butthole Assassin is probably some of the most creatively assembled instrumental hip-hop I've ever heard, and I honestly can't believe I just typed that sentence without a lick of irony. There's so many intricate pieces to this track that flow from one to the next as smooth as butter, and every single sample sounds absolutely excellent.

There's a TON of instrumental details I could point out about the rest of the album - the way the strings crescendo on Banana and then break down into the oddly chopped drum groove before fading out into oblivion then smoothly transitioning into yet another great drum pattern on Like That and then after barely 30 seconds switches to the wall of noisy guitar chords on I Dunno is this album at its best imo.

I feel this is essentially the antithesis of a common criticism of instrumental hip-hop albums in that some producers can make a nice 8 bars and loop it with minimal modification for 5 minutes. This album chucks out one insane idea after another after another, with barely any time to process anything before you're whisked away to the next 15-second snippet of madness. That's not gonna be everyone's thing but to me that's made this album infinitely replayable.

Except.

EXCEPT.

EXCEPT for I Worship Satan, which takes everything I just said in that last paragraph and completely reverses it. It's a nearly 13 minute noise piece. In the middle of the album. Now I dunno about y'all but this completely killed the incredible momentum of this album for me. It's a cool listen if you're into that kinda thing but I definitely would have enjoyed this album WAY more without half of its runtime being dominated by a 13-minute, ultimately kinda samey joke. (minus the ending, which I think is another highlight of the album) This track alone is why I'm giving a middling rating despite enjoying the hell out of every single other track. If this album is the aural equivalent of The Eric Andre Show then I Worship Satan would be the equivalent of interrupting an interview to have someone read poetry. It could be hilarious, and it could be well-written poetry, but I doubt they'd stretch that particular joke for 13 minutes.

And that brings me to my next point. This album is clearly a joke, verging on a shitpost. It's a funny joke - I actually think Eric Andre's particular style of absurd comedy transfers really well to this album - and for the most part I'm impressed with the fact that an absurd comedy album like this can still be enjoyed for the music alone. That part will be subjective of course, and I'll admit I'm kind of a sucker for this particular style of grungy, dissonant, wild hip-hop production. As a producer myself though I'm also just blown away at how technically proficient Eric Andre is, of all people.

So even if this doesn't seem like your kind of thing, I'd still recommend giving it a listen. It's a very unique project that I found equal parts puzzling and impressive. Bird the fuck up and hold onto your ranch."
"craymen","The Dandy Warhols - Why You So Crazy (2019)",1,"2019/01/29",,,"This hurts.

I've admittedly got a bit of a soft spot for the Dandys. My introduction to the band, Thirteen Tales From Urban Bohemia is still one of my most-played albums ever, and even though after that point their discography becomes much more mediocre, I was pleasantly surprised by Distortland. I'm actually pretty sad that album was so heavily panned, since I think it shows a level of maturity and more succinct songwriting that I think the band lacked in prior releases. This is coupled with some of the best instrumentals I've heard the band come together with in a long time. Songs like Doves and Search Party were intoxicatingly dreamy, while Catcher in the Rye and STYGGO are absolutely lovely on the ears.

When I heard the first single to this album, Forever, it seemed like we were going to get some more of the same ideas that made Distortland great. The thin, weary vocals riding on top of the eerily dreamy instrumental are candy to my ears. I was incredibly excited for this album. All signs pointed to this being the Dandys' moment to prove themselves in their late career.

And... well, this wasn't it. In fact Forever is pretty much the only song I liked on the album. I think the band's attitude hasn't changed much from Distortland, so while I'd call this album well-intentioned, the ideas these songs are built around are nowhere near as strong as they were on prior work.

Terraform has some of the worst vocal effects I've heard in a while, and the obnoxiously repetitive drum pattern and bassline aren't any help. This is such a weak opener, which is surprising since previous Dandy Warhols albums generally featured excellent introductions. Godless, We Used To Be Friends, Search Party... I wish Terraform had half of the punch any of those songs had.

From there, the album continues by flipping between awkward acoustic rock and awkward experimental rock. Highlife was almost enjoyable, but the foot-stomping kick-clap drums mix with the buzzy electric guitar solos about as well as peanut butter and Vaseline. I wanted to love Thee Elegant Bum, both for its well-produced bouncy beat and its intentionally laughable title, but Courtney's vocals does not sound good at all here. I'd say it sounds like a bad Gorillaz B-side, but even their B-sides aren't this aimless.

To the Church and Motor City Steel, though, are definitely the worst songs here. To the Church starts off in an interesting-if-not-that-enjoyable way with the odd metallic synth bouncing off of the sequenced drums, but by the time the midpoint rolls around, the extra layered synths, acoustic AND electric guitars, weird choral pads, odd gong samples, and Courtney's shaky vocals come together in the most stomach-churning way. I appreciate the experimentation here, but good god, this does not sound good at all. Motor City Steel, meanwhile, is the polar opposite. It's so squeaky-clean that it sounds like music for a bubbly Ford commercial, and god damn it that 909 clap is so out of place that I can't stop hearing it. every. fucking. second. of. this. song.

This at least is followed by Forever, which as mentioned before, I love, even in the context of this album. It transitions smoothly into a piano outro, Ondine, which is out of place, but is at least pleasant. It's well-arranged and it's a good way to wind down from... whatever the hell just happened.

Overall, I'd say give this a miss unless you're a hardcore Dandy Warhols fan and want to hear them mash every single strange sound they were capable of producing together. Regardless of all of this, though, I still think the Dandy Warhols have some good material left in them. I'm at least glad to see they're not stagnating; in fact, this album suffers from crazy experimentation around somewhat poor ideas. I'm still a fan of these guys, and I'm definitely going to be checking out what they have next. All I hope is that they bring the same maturity and experimentation they've had on their last two releases to some better ideas. "
"craymen","Jungle - For Ever (2018)",2.5,"2018/09/17",,,"Man, I was really hoping for something exceptional from these guys after their pretty awesome debut. Their first album didn't really push any boundaries but I loved it for how well-executed and catchy of a synthfunk album it was.

This time around, it seems Jungle was keen to experiment a bit, and that's kind of exactly what I wanted. In the end, though, I think this album's a bit of a mess because of it. The production seems a little more shoddy, with a lot of instruments drenched in this awful-sounding reverb that drowns out the actually pretty creative and groovy instrumentals. The vocal performances aren't quite as strong, either. They're a lot more dissonant and off-beat this time around, but it doesn't seem like they're quite meant to be. And I think this album lacks a definitive ear-grabber like Busy Earnin', Time, or Julia from their debut.

Gotta hand it to em though. Heavy, California and Beat 54 (All Good Now) are excellent. I love the epic progression of Mama Oh No, and Pray is a great closer. So there's some really great material here, but I don't think Jungle's sound came together as well this time around."
