user,media,score/10,date,review_spoiler,review_heading,review_text
soulfx-1,The Substance (2024),8,2025/03/10,FALSE,Lives up to the hype,"Interesting movie - first half of the movie is gripping scifi dystopian tale, second half is weird, body gore social commentary on Hollywood. It takes alot of chances and I appreciate they created a unique story seldom covered in movies, let alone a commercial Hollywood film. It's well acted and definitely not predictable. I think the movie suffers in the 2nd half where it strains to make viewers squeamish with gore, gibs and blood and body horror, but overall interesting take on the zero to hero trope with an ending that is straight out of a Lynch movie. It lives up to the hype surrounding this film."
soulfx-1,Top Gun (1986),4,2022/05/24,FALSE,"Barely a movie, Military Propaganda ","It's barely a movie - the plot is nonsensical - mostly just a montage of cool fighter jet aviation shots mixed to music.

There's a lot of one liner and 80s style make out scenes, but very little story. Worse, this movie was financed and edited by the American military - it's a love letter to recruitment and basically unfiltered propaganda."
soulfx-1,Fyre (2019),7,2020/01/09,FALSE,Engaging but only half the story - watch Fyre Fraud for the full picture ,"This documentary was created by the social media company (Jerry Media) that is largely responsible for lying and promoting the event, even despite knowing that it was a fraud - they continued to promote its grandeur. Take what they say with a grain of salt, because this documentary was manufactured to defend their company and the influencers they used to peddle the lies.

With that said, this is a highly engaging documentary - largely because they have footage that was considered ""internal"" - they mostly shift the blame and try to make Billy the sole villain, even protecting Jah Rule to an extent. It's worth watching and then watching the Fyre Festival movie (on Hulu/Youtube) to get the full story of what happened.

I gave it a higher rating than the Hulu version, solely because the production value is better and less cheesy, but there are important details missing from this version that are better filled in on the Fyre Fraud documentary."
soulfx-1,Jurassic World (2015),5,2019/11/23,FALSE,A far departure from the original ,"The original Jurassic Park was an intelligent debate on science vs. nature, wrapped up in an action-packed blockbuster film. This is a trope-ridden mess of bad writing, random explosions and messy combination of exposition and reveals. The characters are not likable and Owen probably is just a horrible and unredeeeming character.

Overall, this is probably the worst movie in the series. It has the Jurassic Park IP name, but none of the charm or intellect that made the original a great movie."
soulfx-1,Love and Monsters (2020),7,2021/04/24,FALSE,Zombieland with Insects ,"If you've seen Zombieland - you've seen this movie.

The narration, the guide, the setting and the characters all mirror much of what you've seen in the original Zombieland. The difference is that instead of zombies, it's mutant insects that somehow got radiated by fallout from nuclear missiles that were shot into space.

Ignoring the nonsensical origin story, it follows the tropes of action movies - loser boy falls in love with girl, seeks to meet her again, makes friends along the way who help train him, hero uses training to survive and meet girl and defeat evil villains. Happily ever after."
JustBe333,The Substance (2024),8,2025/03/04,FALSE,Real grindhousey. Good stuff,"I can't believe Demi Moore would do something like this. And I mean that with all respect, I've always enjoyed Demi's work... But this was... Whoa. In a very good way, but holy freaking God.... I just watched this. I'd been working my way to it.

I was not quite prepared.

If you're a fan of body horror you're gonna love it, effed up movies gunna love it, faustian tales...gunna love it. People gripe about the ending, but I mean come on count The ending as one big finale and that is pretty effing wild.

:sweat_smile: I'm sure there is poetic and intellectual things to say about it...all artsy fartsy. But ultimately it was just a fun horror movie keep it at face value, and you will have quite a blast. Good work by both the lead actresses. Didn't like every plot point, but wasn't my art. What they ultimately delivered I gotta say was super fun, twisted, grotesquely funny.

"" she's not just some twisted old hag in a wheelchair... She's epic."" It's like Demi Moore... the crypt keeper. Wow. : )"
JustBe333,Don't Kill It (2016),7,2020/09/04,FALSE,Definately for a gore fan,"I'll start off by saying the movie isn't anything spectacular... To most people. That being said I really really enjoyed it and I like Dolph, I liked him as he-man Don't care what anyone has to say about that one either. All that out-of-the-way for Gore fans this is just a really fun dumb(but not too dumb) movie to enjoy. It's a neat Premise even though it's very simple, it's got surprises gore and laughs and memorability for being so off-the-wall... In my book that makes it a seven."
JustBe333,I Am Mother (2019),7,2019/06/13,FALSE,Better than I thought,"I enjoyed most of the movie and all the visuals . In the end I just thought the story could be stronger . I didn't really like the ending, it didn't make a whole lot of sense Given all the variables. I won't spoil anything I still recommend people watch it give it a chance. I liked where everything was going just felt like the ending was pretty weak and didn't tie the whole story together. This is a terminator type scenario for the betterment of humankind, but I just didn't believe where everything wound up . Still a fun 1 time watch."
JustBe333,Jason X (2001),8,2019/04/26,FALSE,Funnest of all Jason movies,"I apalled to see this get less than a five around the board. I say it gets an 8 for FUN FACTOR. Yes- it's stupid it's stupid as hell and cheesy... Did you watch any of the other movies? Yes - it could've taken it self more seriously and has a few potholes. Yes - it has the coolest death of any of the other movies (liquid nitrogen) Yes - it's not scary... This one wasn't intended to be scary it was intended to be fun, it's pretty obvious ( corkscrew and sleeping bag) Yes - people who love 'fun' horror movies but didn't like this one are idiots. 8/10- for the fun... and Kane Hodder was the best Jason."
JustBe333,Mr. Popper's Penguins (2011),8,2019/04/17,FALSE,The reviews are unfair. Great movie,"I can't believe more adults didn't defend this movie. I'm 35 and I love it. It's fun, funny, cute and sweet. It's not ground breaking or overly deep but it's entertaining. People suck ;p"
